"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"
pgc|l|b|sgL|sgB|absB|Diam|BAratio|PA|T|V_GSR|Dist|sgX|sgY|sgZ|objname|GrpID|Filament|al1950|de1950
%7s|%9.4f|%9.4f|%9.4f|%9.4f|%7.2f|%6.2f|%5.2f|%5d|%3d|%7d|%7d|%7d|%7d|%7d|%14s|%5d|%5s|%9.4f|%9.4f
---|deg|deg|deg|deg|mag|kpc||deg||km/s|km/s|km/s|km/s|km/s||||h|deg
"The Catalogue of Principal Galaxies (PGC) Number"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Absolute magnitude at distance in km/s / 100"|"Intrinsic diameter in kpc at distance in km/s / 100"|"Ratio minor to major axis diameters"|"Position angle on sky N through E"|"Morphological type; see RC3"|"Velocity in Galactic standard of rest; see RC3"|"Distance in km/s; flow model within 3000 km/s"|"SGX component of distance"|"SGY component of distance"|"SGZ component of distance"|"Common name"|"Internal group identifier"|"Internal filament identifier"|"Right Ascension (B1950)"|"Declination (B1950)"
4599|216.8634|-84.4629|271.0298|-11.7630|-17.40|13.56|0.22|172|5|3605|3605|63|-3529|-735|"ESO  412- 23"||62.0|1.2328|-27.6342
4600|127.3629|-15.9101|342.9274|7.8119|-19.05|29.81|0.50||3|5358|5358|5074|-1559|728|"UGC     816"||860.0|1.2234|46.4836
4606|141.2986|-69.9508|290.1698|-7.2821|-19.87|21.20|0.85|115|-1|5635|5635|1927|-5247|-714|"IC       90"||711.0|1.2332|-8.2408
4607|129.5277|-33.5732|325.7420|2.9875|-19.10|17.99|0.62||6|8310|8310|6859|-4672|433|"CGCG 502- 21"||814.0|1.2302|28.7131
4612|131.6863|-46.0421|313.6902|-0.6254|-16.86|5.05|0.60||7|2023|2081|1438|-1505|-23|"MCG  3- 4- 13"||52.0|1.2344|16.1358
4619|132.5108|-49.3714|310.4724|-1.6459|-19.10|22.14|0.20|73|1|6308|6308|4092|-4797|-181|"UGC     824"||714.0|1.2390|12.7614
4623|287.8091|-72.1875|254.0281|-14.7620|-19.50|23.58|0.72|114|2|6717|6717|-1788|-6244|-1711|"ESO  244- 10"||713.0|1.2467|-44.4458
4630|297.5316|-55.3928|236.1603|-16.3901|-19.35|27.12|0.26|176|3|8471|8471|-4526|-6750|-2390|"ESO  113- 33"||768.0|1.2542|-61.7283
4632|296.6689|-57.9037|238.8193|-16.2567|-19.12|20.73|0.83|103|0|5143|5143|-2557|-4224|-1440|"NGC     466"||150.0|1.2544|-59.1731
4634|293.0179|-65.6965|247.0889|-15.6049|-18.50|12.82|0.51|134|5|4813|4813|-1805|-4270|-1295|"ESO  196-  1"||713.0|1.2525|-51.1950
4636|264.7987|-81.2750|264.5659|-13.2109|-19.45|17.69|0.76|23|5|5655|5655|-522|-5481|-1292|"NGC     461"||713.0|1.2504|-34.1047
4649|293.6992|-64.3374|245.6582|-15.7855|-19.61|16.99|0.42|73|4|7325|7325|-2906|-6422|-1993|"ESO  151- 39"||713.0|1.2578|-52.5833
4650|127.3438|-13.6370|345.1933|8.1757|-18.71|16.09|0.15|145|8|5510|5510|5273|-1394|784|UGC825|-1|860.0|1.2439|48.7472
4654|127.9392|-18.9687|339.9685|6.7902|-19.15|22.13|0.62|165|4|6161|6161|5747|-2096|728|"UGC     826"||860.0|1.2457|43.3850
4661|273.1673|-79.2397|262.0804|-13.7403|-15.91|4.55|0.39|0|6|2157|1632|-219|-1570|-388|"ESO  352- 36"||52.0|1.2596|-36.5767
4663|142.8372|-70.4648|289.6309|-7.7823|-17.56|19.41|0.71|110|10|4098|4098|1364|-3824|-555|"MCG -2- 4- 20"||717.0|1.2564|-8.8850
4664|133.0942|-50.1401|309.7596|-2.1207|-18.84|15.64||||5775|5775|3691|-4437|-214|"MK      979"||714.0|1.2563|11.9436
4671|287.4871|-71.8614|253.7730|-14.9974|-19.21|23.26|0.37|177|4|6626|6626|-1789|-6145|-1715|"ESO  244- 12"||713.0|1.2656|-44.7208
4672|133.3504|-50.9497|308.9761|-2.3839|-19.98|36.21|0.63|50|5|5290|5290|3324|-4109|-220|"UGC     833"||714.0|1.2584|11.1183
4673|138.6461|-64.6211|295.5350|-6.2545|-18.16|17.29|0.81|||5399|5399|2313|-4843|-588|"MCG -1- 4- 24"||711.0|1.2599|-2.8297
4674|128.6621|-24.1302|334.9541|5.2974|-19.28|24.11|0.65||3|7358|7358|6637|-3102|679|"UGC     831"||836.0|1.2552|38.1811
4688|138.0950|-62.9707|297.1860|-5.9563|-18.17|11.19||||5417|5417|2461|-4793|-562|||711|1.2699|-1.1683
4698|129.7677|-31.4745|327.8484|3.1340|-19.50|20.85|0.74|75|6|6978|6978|5899|-3708|381|"UGC     835"||836.0|1.2648|30.7731
4700|296.2556|-58.0434|239.0178|-16.4334|-18.16|12.88|0.71|90|0|4949|4949|-2444|-4069|-1400|"ESO  113- 35"||150.0|1.2789|-58.9931
4701|142.3605|-69.2739|290.8392|-7.6752|-19.16|18.40|0.83||1|5363|5363|1890|-4967|-716|"MCG -1- 4- 25"||711.0|1.2700|-7.7000
4703|164.2160|-80.2314|278.8606|-10.6402|-19.62|17.28|0.59|58|0|6490|6490|982|-6302|-1198|"ESO  542-  3"||754.0|1.2719|-19.8900
4704|187.0641|-83.0618|274.5752|-11.5859|-20.07|23.03|0.56|57|4|7029|7029|549|-6864|-1412|"ESO  475- 16"||754.0|1.2728|-24.2000
4705|132.6981|-47.3614|312.4815|-1.4981|-19.91|12.91|0.81||6|7009|7009|4731|-5168|-183|"UGC     838"||714.0|1.2684|14.7289
4707|155.8952|-77.8842|281.6593|-10.0152|-19.98|24.56|0.35|94|-2|5818|5818|1157|-5611|-1012|"IC     1670B"||712.0|1.2733|-17.0667
4708|293.7994|-63.3482|244.6693|-16.0614|-19.79|31.56|0.68|19|5|7307|7307|-3005|-6346|-2022|"ESO  151- 40"||713.0|1.2792|-53.5547
4711|155.8468|-77.8901|281.6566|-10.0038|-20.10|30.51|0.28|126|4|6012|6012|1196|-5799|-1044|"IC     1670A"||712.0|1.2725|-17.0667
4719|132.4675|-46.0405|313.7690|-1.1620|-18.96|19.10|0.36|4|0|6391|6391|4420|-4615|-130|"NGC     463"||714.0|1.2717|16.0583
4724|156.6904|-78.0767|281.4227|-10.1162|-20.25|21.51|0.45|170|4|5987|5987|1167|-5777|-1052|"IC       93"||712.0|1.2765|-17.3167
4731|264.1801|-80.8362|264.3656|-13.6156|-19.51|26.37|0.54|17|-2|5568|5568|-532|-5385|-1311|"ESO  352- 41"||713.0|1.2800|-34.3667
4735|129.6051|-29.4823|329.7946|3.5961|-18.85|24.14|0.22|54|5|5719|5719|4933|-2872|359|"UGC     841"||825.0|1.2727|32.7675
4736|136.3982|-58.8441|301.2782|-4.9037|-20.77|36.22|1.00||-3|5540|5540|2865|-4718|-474|"NGC     467"||711.0|1.2765|3.0383
4738|131.4677|-40.6471|319.0015|0.3348|-20.06|30.29|0.83|40|3|9461|9461|7140|-6207|55|"UGC     845"||914.0|1.2766|21.5000
4753|132.9977|-47.4501|312.4204|-1.7108|-18.11|8.08|0.68|||4187|4187|2823|-3090|-125|"NGC     469"||717.5|1.2815|14.6094
4755|136.5825|-58.9029|301.2261|-5.0029|-18.40|16.40|0.24||5|5747|5747|2968|-4896|-501|"MCG  0- 4- 82"||711.0|1.2820|2.9611
4756|127.6611|-13.4237|345.4526|7.9022|-18.31|13.11|0.63|48|7|6908|6908|6623|-1719|950|UGC846|-1|862.0|1.2773|48.9267
4757|135.9632|-57.2414|302.8642|-4.5524|-19.02|13.95|0.68|||7229|7229|3910|-6053|-574|"MCG  1- 4- 21"||754.0|1.2833|4.6544
4758|169.6779|-80.9785|277.7611|-11.0705|-18.67|17.57|0.81|177|8|5488|5488|727|-5337|-1054|"ESO  542-  4"||712.0|1.2847|-21.0383
4763|132.4341|-44.7688|315.0573|-0.9736|-18.70|28.59|0.33|74|5|8929|8929|6319|-6307|-152|"UGC     852"||914.0|1.2832|17.3186
4764|295.9592|-58.2213|239.2392|-16.5386|-19.89|23.89|0.74|94|-3|5045|5045|-2474|-4156|-1436|"NGC     484"||150.0|1.2939|-58.7867
4766|132.2210|-43.9190|315.8458|-0.6935|-19.60|15.93|0.63||5|8449|8449|6061|-5886|-102|"CGCG 459- 29"||914.0|1.2821|18.1819
4769|134.8651|-54.0447|305.9999|-3.6466|-20.29|27.90|0.91||2|9556|9556|5605|-7716|-608|"UGC     855"||754.0|1.2834|7.9106
4777|136.6329|-58.7061|301.4250|-5.0155|-19.10|17.63|0.55|155|3|2447|2142|1113|-1821|-187|"NGC     470"|901|52.0|1.2862|3.1481
4780|129.7985|-29.7254|329.5815|3.3908|-18.17|10.76|0.63||0|5207|5207|4482|-2632|308|"NGC     468"||825.0|1.2834|32.5056
4782|129.8624|-30.0213|329.2978|3.2885|-19.42|16.09|0.98||6|5026|5026|4314|-2562|288|"IC     1666"||825.0|1.2849|32.2050
4784|131.7388|-41.0032|318.6798|0.0789|-19.83|19.10|0.32||3|9238|9238|6937|-6100|13|"MCG  3- 4- 21"||914.0|1.2874|21.1183
4785|132.7386|-45.7839|314.0489|-1.3140|-18.44|13.42|0.63|153|0|2247|2251|1565|-1618|-52|"NGC     473"|922|52.0|1.2873|16.2828
4792|282.1909|-74.7236|257.1240|-14.8961|-19.73|16.84|0.59|114|9|5506|5506|-1186|-5187|-1415|||713.0|1.2953|-41.4983
4793|133.1789|-47.5185|312.3683|-1.8411|-18.96|12.97|0.65|85|-2|4243|4243|2858|-3133|-136|"NGC     471"||717.5|1.2889|14.5222
4798|133.2991|-47.9328|311.9674|-1.9740|-19.87|15.19|0.81||1|9466|9466|6326|-7035|-326|"MCG  2- 4- 25"||754.0|1.2897|14.1003
4799|262.3901|-80.8469|264.6068|-13.7780|-18.46|18.86|0.40|102|6|3549|3549|-324|-3432|-845|"NGC     491A"||62.0|1.2961|-34.1633
4801|136.7935|-58.6813|301.4554|-5.0970|-19.34|39.38|0.81|75|-2|2445|2187|1137|-1859|-194|"NGC     474"|901|52.0|1.2921|3.1547
4803|178.4095|-81.9338|276.2271|-11.5598|-19.45|15.70|0.85|83|5|6767|6767|719|-6590|-1356|"NGC     478"||754.0|1.2956|-22.6406
4808|291.1853|-66.6375|248.2771|-15.9605|-19.04|19.28|0.62|40|-4|7409|7409|-2637|-6617|-2037|"FAIR    692"||713.0|1.3014|-50.0917
4810|129.7869|-28.9819|330.3151|3.5201|-19.11|13.57|1.00|82|-5|5338|5214|4521|-2578|320|"UGC     862"||825.0|1.2901|33.2444
4814|133.0006|-46.2862|313.5750|-1.5608|-18.87|12.84|0.81||-2|6506|6506|4483|-4712|-177|"NGC     476"||714.0|1.2944|15.7581
4822|285.9216|-72.0339|254.1645|-15.3471|-19.54|26.46|0.58|20|2|7033|7033|-1851|-6525|-1861|"ESO  244- 17"||713.0|1.3022|-44.3897
4823|281.5002|-74.9387|257.4127|-14.9297|-19.37|38.82|0.25|84|2|6511|6511|-1371|-6140|-1677|"NGC     482"||713.0|1.3017|-41.2267
4829|127.6940|-12.4580|346.4220|8.0119|-19.28|19.49||||7183|7183|6914|-1671|1001|"CGCG 551- 15"||862|1.2917|49.8828
4833|129.9658|-29.7660|329.5646|3.2409|-19.49|20.53|0.85||-1|5458|5458|4698|-2761|309|"NGC     472"||825.0|1.2946|32.4469
4835|135.5132|-54.8165|305.2657|-4.0953|-17.18|4.91|0.87||3|3207|3207|1847|-2612|-229|"CGCG 411- 24"||718.0|1.2987|7.0814
4840|130.4605|-32.8296|326.6033|2.3380|-18.48|11.56|0.51|130|2|4544|4544|3790|-2499|185|"MCG  5- 4- 23"||825.0|1.2963|29.3544
4841|262.8770|-80.6158|264.4009|-13.9181|-17.90|12.63|0.49|73|10|3766|3766|-357|-3638|-906|||62.0|1.3043|-34.3839
4842|159.1128|-78.1666|281.1722|-10.5588|-19.38|22.54|0.36|143|4|5992|5992|1141|-5779|-1098|"ESO  542-  8"||712.0|1.3025|-17.6583
4843|159.0905|-78.1597|281.1804|-10.5569|-19.20|23.38|0.36|85|2|5935|5935|1131|-5724|-1087|"ESO  542-  7"||712.0|1.3025|-17.6500
4848|130.4691|-32.7459|326.6871|2.3440|-20.28|30.23|0.68|140|3|7163|7163|5981|-3931|293|"IC     1672"||836.0|1.2977|29.4364
4853|138.0466|-60.7041|299.4615|-5.8397|-18.17|19.02|0.19|34|-2|5417|5417|2650|-4692|-551|"UGC     874"||711.0|1.3033|1.0422
4854|137.9771|-60.5672|299.5975|-5.7996|-18.51|14.06|0.93||5|5528|5528|2716|-4782|-559|"UGC     875"||711.0|1.3032|1.1833
4855|129.9850|-29.4258|329.9037|3.2786|-18.39|7.44|0.78||-5|5236|5204|4495|-2606|298|"IC     1673"||825.0|1.2994|32.7822
4860|129.9582|-29.0442|330.2773|3.3623|-18.40|9.22|1.00|||5615|5242|4544|-2595|307|"CGCG 502- 39"||825.0|1.3012|33.1636
4862|135.9531|-55.5500|304.5547|-4.4088|-16.72|7.63|0.83||10|2412|2177|1231|-1788|-167|"UGC 00882"||52.0|1.3053|6.3128
4866|129.7430|-27.4949|331.7798|3.7955|-18.57|8.11|0.91||3|4716|4716|4146|-2226|312|"MCG  6- 4-  2"||825.0|1.3021|34.7244
4876|129.8622|-28.2249|331.0743|3.5755|-19.30|12.18|0.33|70||5253|5253|4588|-2536|328|"IC     1675"||825.0|1.3030|33.9869
4879|129.9259|-28.5706|330.7413|3.4654|-19.46|17.49|0.78|95|-2|4177|5098|4439|-2488|308|"UGC     878"||825.0|1.3039|33.6369
4880|139.1452|-62.4653|297.7090|-6.4218|-18.10|8.44|1.00||10|5257|5257|2429|-4625|-588|"MCG  0- 4- 92"||711.0|1.3092|-0.7928
4883|130.0141|-29.0849|330.2448|3.3076|-18.57|10.07|0.87||-5|5399|5220|4524|-2587|301|"CGCG 502- 43"||825.0|1.3047|33.1169
4891|130.0481|-29.2461|330.0902|3.2528|-18.78|14.94|0.81||6|5563|5236|4531|-2607|297|"IC     1677"||825.0|1.3054|32.9533
4892|211.1410|-83.3755|271.8938|-12.6760|-20.00|30.28|0.40|114|-3|5831|5831|188|-5686|-1280|"ESO  476-  4"||713.0|1.3125|-26.9881
4894|266.6248|-79.7382|263.3224|-14.2071|-18.43|26.56|0.17|145|4|5872|5872|-662|-5654|-1441|"ESO  352- 50"||713.0|1.3138|-35.4633
4895|128.7056|-19.6874|339.3681|5.9634|-19.41|23.83|0.69|60|5|7442|7442|6927|-2609|773|"UGC     880"||836.0|1.3037|42.5894
4896|138.1930|-60.6162|299.5528|-5.9076|-19.27|28.68|0.28|177|4|5037|5037|2471|-4359|-518|"UGC     890"||711.0|1.3094|1.1111
4899|145.6299|-70.7607|289.2614|-8.6840|-19.79|25.18|0.76|85|-4|5567|5567|1815|-5195|-841|"NGC     481"||711.0|1.3092|-9.4667
4900|270.7510|-78.7259|262.0300|-14.4293|-18.85|14.28|0.71|50|-4|5878|5878|-790|-5638|-1465|"ESO  352- 51"||713.0|1.3156|-36.7350
4901|129.0233|-22.0503|337.0694|5.3018|-19.47|15.44|0.52||6|6072|6072|5568|-2356|561|"MCG  7- 3- 31"||860.0|1.3045|40.2081
4905|137.1426|-58.1846|301.9648|-5.2478|-19.09|16.77|0.83||3|5359|5359|2825|-4528|-490|"NGC     479"||711.0|1.3112|3.6006
4906|139.2439|-62.4680|297.7074|-6.4674|-19.94|25.69|0.89|125|2|5301|5301|2448|-4663|-597|||711.0|1.3120|-0.8067
4910|130.1059|-29.3655|329.9800|3.1841|-18.27|7.75|0.81|142|-5|5252|5175|4473|-2585|287|||825.0|1.3081|32.8283
4911|147.4069|-72.0608|287.8879|-9.0957|-18.22|21.33|0.35||1|5540|5540|1680|-5206|-876|"MCG -2- 4- 31"||711.0|1.3133|-10.8833
4912|181.9518|-81.9728|275.8342|-11.9130|-19.07|31.38|0.27|10|4|5906|5906|587|-5749|-1219|"ESO  476-  5"||713.0|1.3150|-23.0633
4914|261.9290|-80.5462|264.4881|-14.0656|-19.53|14.49|0.74|93|3|3853|3853|-359|-3720|-936|"NGC     491"||62.0|1.3172|-34.3250
4915|129.0577|-22.0281|337.0964|5.2737|-19.90|39.45|0.58|135|6|6035|6035|5535|-2339|555|"NGC     477"||860.0|1.3076|40.2261
4916|138.9384|-61.8482|298.3273|-6.3092|-18.03|11.25|0.47|99|6|3853|3853|1817|-3371|-423|"IC     1681"||717.0|1.3132|-0.1708
4918|135.2944|-52.9701|307.0966|-3.7958|-15.33|7.13|0.18||8|2131|2220|1336|-1767|-147|"UGC 00896"||52.0|1.3139|8.9181
4919|137.3144|-58.3893|301.7651|-5.3502|-18.91|13.29|0.68||3|7050|7050|3695|-5968|-657|"MCG  0- 4- 96"||754.0|1.3142|3.3811
4920|133.7828|-47.7325|312.2063|-2.2715|-18.19|11.30||||4340|4340|2913|-3213|-172|"CGCG 436- 34"||717.5|1.3142|14.2433
4921|136.0194|-55.0889|305.0187|-4.4083|-17.22|10.27|0.32|3|5|2331|2219|1270|-1812|-171|"NGC     485"|901|52.0|1.3142|6.7569
4923|296.6071|-55.3827|236.2767|-16.9033|-19.66|31.93|0.44|6|5|8488|8488|-4509|-6754|-2468|"ESO  113- 41"||768.0|1.3269|-61.6367
4928|132.3352|-41.3978|318.3538|-0.4219|-19.80|24.71|0.51|63|4|9278|9278|6932|-6166|-68|"UGC     899"||914.0|1.3151|20.6611
4934|257.5815|-81.1340|265.4164|-13.9542|-17.85|8.93|0.76|150|-4|3510|3510|-272|-3396|-846|"ESO  352- 55"||62.0|1.3206|-33.4183
4936|130.0934|-28.8523|330.4859|3.2759|-18.06|9.92|0.68||0|4636|5144|4469|-2530|294|"MCG  5- 4- 26"||825.0|1.3128|33.3386
4939|130.2560|-29.8363|329.5350|2.9811|-18.95|9.43|0.29|145|3|4890|4890|4209|-2476|254|"UGC     901"||825.0|1.3136|32.3444
4943|149.2785|-73.0726|286.7893|-9.4988|-20.04|18.93|0.89|100|6|5518|5518|1572|-5210|-911|"MCG -2- 4- 32"||711.0|1.3217|-12.0333
4944|130.1470|-28.9536|330.3931|3.2135|-18.09|8.39|0.81||2|5457|5226|4536|-2578|293|"IC     1679"||825.0|1.3155|33.2319
4945|124.4817|15.8487|14.8368|14.0548|-17.69|23.14|1.00||6|4355|4355|4084|1082|1058|"UGC     863"||480.0|1.2890|78.3683
4946|136.8213|-56.7965|303.3443|-4.9851|-20.50|33.62|0.74|15|3|2349|2144|1174|-1785|-186|"NGC     488"|901|52.0|1.3198|4.9933
4947|132.9890|-44.0081|315.8330|-1.2533|-19.62|27.11|0.56|48|2|8468|8468|6072|-5899|-185|"UGC     904"||914.0|1.3192|18.0078
4948|133.1274|-44.6776|315.1821|-1.4391|-17.46|11.79|0.20|52|5|2621|2218|1573|-1563|-56|"UGC     903"|910|52.0|1.3184|17.3311
4949|285.0319|-72.0019|254.2731|-15.6030|-19.99|22.73|0.71|173|5|7100|7100|-1854|-6582|-1910|"ESO  244- 21"||713.0|1.3272|-44.3167
4953|141.3343|-65.2853|294.8724|-7.3961|-19.24|20.11|0.58||2|8874|8874|3701|-7984|-1142|"MCG -1- 4- 28"||754.0|1.3217|-3.7667
4956|130.2093|-29.1591|330.1985|3.1275|-18.68|10.14|1.00||0|4584|5138|4452|-2550|280|"IC     1680"||825.0|1.3174|33.0211
4957|135.4611|-52.9235|307.1526|-3.8914|-18.02|10.79|0.22|120|5|2596|2227|1342|-1771|-151|"NGC     489"||52.0|1.3212|8.9444
4958|157.6654|-77.1284|282.2731|-10.6095|-20.06|18.17|0.62|112|1|5942|5942|1241|-5707|-1094|"NGC     487"||712.0|1.3233|-16.6167
4960|127.9355|-12.5282|346.3862|7.7682|-18.54|26.54|0.91||-5|6434|6434|6196|-1501|870|"UGC     902"||862.0|1.3152|49.7858
4961|130.1903|-28.9188|330.4334|3.1816|-19.62|11.46|1.00|||6144|5294|4597|-2609|294|"NGC     483"||825.0|1.3186|33.2614
4965|133.6193|-46.4418|313.4749|-2.0041|-19.05|21.62|0.81|0|6|6450|6450|4435|-4678|-226|"UGC     910"||714.0|1.3217|15.5342
4971|129.6329|-25.0730|334.1617|4.2755|-19.63|24.29|0.71|45|6|5249|5249|4711|-2282|391|"UGC     909"||825.0|1.3195|37.1392
4972|261.8876|-80.3508|264.3768|-14.2286|-18.52|18.19|0.33|12|-1|5553|5553|-528|-5357|-1365|"ESO  352- 57"||713.0|1.3290|-34.4583
4979|138.9043|-60.9687|299.2112|-6.2672|-18.82|21.61|0.29|58|7|2403|2184|1060|-1895|-238|"NGC     493"|901|52.0|1.3263|0.6861
4982|127.9989|-12.5316|346.3917|7.7064|-19.52|16.87|0.66|36|-3|6347|6347|6113|-1480|851|MCG8-3-17|-1|862.0|1.3212|49.7750
4983|130.2986|-29.1710|330.1989|3.0487|-18.90|11.37|0.48|122|5|4537|5134|4449|-2548|273|"IC     1682"||825.0|1.3235|32.9989
4985|130.0882|-27.7743|331.5517|3.4495|-18.89|8.13|0.58|53|6|5308|5308|4658|-2524|319|"UGC     913"||825.0|1.3238|34.4078
4992|140.0079|-62.7168|297.4626|-6.8231|-20.74|48.89|0.41|132|4|8200|8200|3754|-7225|-974|"NGC     497"||754.0|1.3307|-1.1367
4998|129.4770|-23.2775|335.9183|4.6964|-19.38|15.87|0.76|||8040|8040|7315|-3270|658|"CGCG 521-  9"||836.0|1.3272|38.9381
5003|128.0395|-12.5081|346.4210|7.6707|-18.49|5.29|0.76||5|6287|6287|6056|-1464|839|"MCG  8- 3- 18"||862.0|1.3257|49.7936
5008|130.2144|-27.9932|331.3525|3.3051|-18.95|19.69|0.46|177|6|4998|4998|4379|-2393|288|"IC     1683"||825.0|1.3304|34.1758
5015|131.5114|-35.4814|324.1477|1.0581|-19.55|22.30||||9180|9180|7439|-5376|170|"MK      356"||814.0|1.3329|26.6072
5019|140.5184|-63.1887|296.9885|-7.0577|-19.08|28.99|0.31|108|2|5798|5455|2456|-4824|-670|"UGC     921"||710.0|1.3372|-1.6531
5021|130.3243|-28.4530|330.9127|3.1381|-18.10|11.62|0.36||-1|5652|5245|4576|-2546|287|"MCG  6- 4- 10"||825.0|1.3332|33.7072
5029|142.7614|-66.2968|293.8351|-7.9516|-19.13|18.10|0.72|80|-3|5275|5275|2111|-4779|-730|"IC      100"||711.0|1.3395|-4.9044
5031|129.5531|-23.2101|335.9960|4.6378|-19.93|15.19|0.83||1|8057|8057|7336|-3268|651|"MCG  6- 4-  9"||836.0|1.3338|38.9958
5034|135.9264|-53.0266|307.0748|-4.1797|-17.98|8.90|0.95||-2|2577|2208|1328|-1757|-161|"NGC     502"||52.0|1.3384|8.7881
5035|130.4798|-29.2361|330.1590|2.8823|-19.80|30.53|0.39|100|3|5607|5241|4540|-2605|264|"NGC     494"||825.0|1.3351|32.9128
5036|135.7962|-52.6151|307.4788|-4.0653|-18.90|16.89|0.66||-2|5652|5652|3430|-4474|-401|"NGC     505"||714.0|1.3388|9.2069
5037|130.4349|-28.9410|330.4449|2.9667|-19.69|17.93|0.68|170|0|4260|5106|4435|-2516|264|"NGC     495"||825.0|1.3353|33.2106
5039|285.0261|-71.4595|253.7824|-15.8697|-18.13|10.97||||5323|5323|-1430|-4916|-1456|"FAIR    694"||713.0|1.3469|-44.8167
5043|144.4698|-68.1767|291.9005|-8.5029|-17.78|9.35|0.51||5|5315|5315|1960|-4877|-786|"MCG -1- 4- 31"||711.0|1.3420|-6.8967
5046|283.1455|-72.7661|255.2574|-15.7096|-19.22|29.49|0.23|150|3|6986|6986|-1712|-6504|-1892|"ESO  244- 23"||713.0|1.3475|-43.3883
5049|264.1448|-79.6349|263.6103|-14.5677|-18.96|15.41|0.72|18|5|5922|5922|-638|-5696|-1490|"ESO  352- 61"||713.0|1.3465|-35.2456
5055|140.2995|-62.4371|297.7454|-6.9551|-19.40|27.92|0.52|45|-2|8328|8328|3848|-7317|-1008|"UGC     928"||754.0|1.3442|-0.9019
5056|140.1659|-62.1877|297.9961|-6.8912|-19.48|27.03|0.95||6|7525|7525|3506|-6597|-903|"UGC     929"||754.0|1.3446|-0.6450
5059|130.4798|-28.8502|330.5407|2.9419|-18.44|12.32|0.74|||6297|5310|4617|-2608|273|"NGC     498"||825.0|1.3394|33.2950
5060|130.4964|-28.9444|330.4498|2.9130|-20.37|25.46|0.78|82|-3|4545|5134|4460|-2529|261|"NGC     499"||825.0|1.3396|33.1997
5061|130.4859|-28.8764|330.5157|2.9325|-19.49|25.08|0.54|28|5|6152|5295|4603|-2603|271|"NGC     496"||825.0|1.3396|33.2683
5070|140.5169|-62.6816|297.5277|-7.0580|-18.35|13.46|0.29|96|0|7831|7831|3591|-6892|-962|"CGCG 385- 93"||754.0|1.3458|-1.1650
5072|136.5258|-54.2318|305.8991|-4.6322|-15.00|2.30|||5|2784|2105|1230|-1700|-170|"VV 730"||52.0|1.3451|7.5356
5073|144.6326|-68.1415|291.9313|-8.5660|-19.45|21.22||||5371|5371|1983|-4927|-800|"MCG -1- 4- 32"||711.0|1.3467|-6.8833
5074|130.5557|-29.1242|330.2799|2.8340|-18.54|11.22|0.51|||5026|5183|4495|-2567|256|"IC     1687"||825.0|1.3417|33.0144
5075|128.1949|-12.5714|346.3798|7.5115|-19.30|14.19|0.58|133||6393|6393|6160|-1493|836|MCG8-3-20|-1|862.0|1.3403|49.7122
5076|141.1786|-63.7126|296.4590|-7.3503|-18.70|13.96|0.37|158|4|4890|5364|2370|-4763|-686|"MCG  0- 4-112"||710.0|1.3468|-2.2375
5077|144.8200|-68.3126|291.7533|-8.6219|-18.42|8.82|0.65|||5371|5371|1968|-4932|-805|"MCG -1- 4- 33"||711.0|1.3473|-7.0678
5078|134.2587|-46.9534|313.0187|-2.5003|-19.73|28.08|0.89|45|1|10305|10305|7023|-7528|-450|"UGC     933"||754.0|1.3454|14.9539
5080|135.9837|-52.6264|307.4776|-4.1797|-17.06|10.39|0.44|82|0|2362|2245|1362|-1777|-164|"NGC     509"||52.0|1.3463|9.1731
5082|130.5435|-28.9667|330.4341|2.8688|-18.08|10.70|||-5|5156|5196|4514|-2561|260|"NGC     501"||825.0|1.3426|33.1719
5084|130.6013|-29.1901|330.2209|2.7845|-19.30|25.37|0.26|47|-2|4371|5117|4436|-2539|249|"NGC     504"||825.0|1.3441|32.9436
5086|130.5833|-29.0636|330.3436|2.8195|-18.62|13.46|0.74||-5|6123|5292|4593|-2616|260|"NGC     503"||825.0|1.3443|33.0711
5087|294.1543|-59.8910|241.1839|-16.9641|-18.93|18.87|0.55|62|5|5132|5132|-2366|-4301|-1497|"ESO  151- 43"||150.0|1.3589|-56.9483
5088|130.4202|-27.8341|331.5381|3.1501|-19.19|20.37|0.71|85|6|7139|7139|6266|-3398|392|"UGC     940"||836.0|1.3467|34.3086
5089|130.3905|-27.8027|331.5652|3.1808|-19.23|17.44|0.62|||7017|7017|6161|-3337|389|"MK      988"||836.0|1.3449|34.3433
5091|263.5451|-79.6001|263.6768|-14.6612|-18.71|22.02|0.25|63|-1|5991|5991|-639|-5761|-1516|"ESO  352- 64"||713.0|1.3547|-35.1967
5094|136.9271|-55.0367|305.1106|-4.9226|-16.57|6.42|0.70||10|2808|2197|1259|-1791|-189|"UGC 00941"||52.0|1.3488|6.6997
5095|130.7329|-29.7535|329.6811|2.5851|-18.63|12.44|0.81||0|4892|4892|4218|-2467|221|"UGC     937"||825.0|1.3469|32.3697
